url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_tld,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6464393446710157,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
11,0,1,11,11,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.095795255000934,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,291,1,1,0,16,0,1,1,0,0,0,0,benign
12,0,1,12,12,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0220552088742005,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.169925001442312,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
13,0,1,13,13,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.334679141051595,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,87,1,1,1,371,13,60,3,0,1,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6416041678685938,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,441,1,1,2,478,0,170,8,0,19,0,0,benign
12,0,1,12,12,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.8553885422075336,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1219280948873624,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,164,1,1,1,149,0,1071,1,0,44,0,0,benign
6,0,1,6,6,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2516291673878226,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,206,1,1,0,127,0,72,1,0,17,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.721928094887362,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,1,1,1,2,0,6,3,0,1,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6464393446710157,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,103,1,1,0,41,0,0,0,0,0,0,0,benign
11,0,1,11,11,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0271691184406184,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,10,1,1,1,6,0,3,1,0,1,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.725480556997868,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,113,1,1,0,45,0,0,0,0,0,0,0,benign
12,0,1,12,12,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.8553885422075336,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
8,0,1,8,8,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,36,1,1,1,113,0,13,1,0,2,0,0,benign
6,0,1,6,6,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.584962500721156,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,7,1,1,0,0,0,0,0,0,1,0,0,benign
13,0,1,13,13,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3927474104487847,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,3,1,1,0,0,0,1,0,0,2,0,0,benign
8,0,1,8,8,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,126,1,1,0,157,0,30,1,0,12,0,0,benign
11,0,1,11,11,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.913977073182752,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,585,1,1,7,959,0,172,21,0,85,0,0,benign
6,0,1,6,6,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.584962500721156,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,13,1,1,0,31,0,33,0,0,0,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.94770277922009,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,benign
6,0,1,6,6,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.584962500721156,2,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,211,2,2,1,485,0,51,3,0,181,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5032583347756456,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
12,0,1,12,12,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.8553885422075336,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
12,0,1,12,12,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2516291673878226,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,58,1,1,2,159,0,90,4,0,7,0,0,benign
13,0,1,13,13,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
