,url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_tld,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),Result_v1
1,15,0,4,0,0,3,3,0,15,15,3,0,0,2,0,0,0,0,0,0,0,1,3.356492414,4,12,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,benign
2,96,0,3,82,68,6,4,1,14,14,3,2,0,5,0,0,0,4,0,0,0,0,4.878975484,47,17,0,0,0,1,0,0,7,1,1,0,4,0,1,0,0,1,0,0,benign
3,12,0,3,0,0,5,3.333333333,0,12,12,2,0,0,2,0,0,0,0,0,0,0,0,3.471354487,11,0,0,0,1,8,0,0,283,1,1,1,62,0,47,1,0,81,1,0,benign
4,35,0,3,18,10,7,5,1,17,17,3,0,0,4,0,0,0,0,0,0,0,0,4.062795209,24,0,0,0,0,5,0,0,56,1,1,0,48,0,76,0,0,0,0,0,benign
5,38,0,3,17,16,12,6.333333333,1,21,21,3,0,0,3,0,0,0,0,0,0,0,0,3.932279553,30,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,3,0,0,benign
6,111,0,3,96,74,9,4.333333333,0,15,15,3,4,0,5,0,0,0,6,0,0,0,0,4.956047577,55,19,0,0,0,3,0,0,4,1,1,0,10,0,0,0,0,1,0,0,benign
7,13,0,3,0,0,5,3.666666667,1,13,13,2,0,0,2,0,0,0,0,0,0,0,0,3.68418372,11,3,0,0,0,18,0,0,219,1,1,1,344,0,116,29,0,22,0,0,benign
8,11,0,2,0,0,7,5,0,11,11,1,0,0,2,0,0,0,0,0,0,0,0,3.787143961,11,0,0,0,0,7,0,0,6,1,1,0,2,0,2,0,0,0,0,0,benign
9,37,2,3,0,0,18,11.66666667,1,37,37,2,0,0,2,2,0,0,0,0,0,0,0,4.311037868,23,0,0,0,0,8,0,0,211,1,1,2,122,0,49,7,0,154,0,0,benign
10,60,0,2,49,43,7,5,1,11,11,2,1,0,4,0,0,0,4,0,0,0,0,4.613362386,35,10,0,0,0,0,0,0,4,1,1,0,3,0,2,0,0,0,0,0,benign
11,82,0,3,64,57,10,5.333333333,1,18,18,2,1,0,4,0,0,0,8,0,0,0,0,4.69040924,40,18,0,0,1,27,0,0,186,1,1,3,585,0,214,6,0,138,0,0,benign
12,16,0,3,0,0,8,4.666666667,1,16,16,2,0,0,2,0,0,0,0,0,0,0,0,3.653996739,14,0,0,0,1,16,0,0,79,1,1,1,161,0,76,2,0,28,0,0,benign
13,28,1,3,0,0,21,8.666666667,0,28,28,2,0,0,2,1,0,0,0,0,0,0,0,4.071581588,20,0,0,0,0,28,0,0,164,1,1,1,180,0,166,2,0,41,0,0,benign
14,27,0,2,15,9,8,5.5,1,12,12,2,0,0,4,0,0,0,0,0,0,0,0,3.844384532,19,0,0,0,1,16,0,0,2,1,1,2,27,0,0,5,0,47,0,0,benign
15,37,0,2,29,18,4,3.5,1,8,8,2,0,0,5,0,0,0,0,0,0,0,0,4.445131835,20,12,0,0,0,10,0,0,46,1,1,1,51,0,33,2,0,2,0,0,benign
