url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
64,0,2,37,0,16,9.5,20,20,1,0,0,6,2,0,0,0,0,0,0,0,4.501713821688583,34,1,0,80,0,0,0,0,1,0,1,0,0,0,0,0,0,17,0,0,48,1,1,1,7,0,28,3,0,1,0,0,malicious
33,0,5,1,0,8,4.0,24,24,4,0,0,3,0,0,0,0,0,0,0,0,4.066677073707229,20,1,0,80,1,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,2,1,1,0,0,0,1,0,0,0,0,0,malicious
37,1,3,1,0,20,8.666666666666666,28,28,2,0,0,3,1,0,0,0,0,0,0,0,4.134468568039292,16,8,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,166,0,0,283,1,1,0,10,0,98,2,0,2,0,0,malicious
24,0,3,1,0,8,4.666666666666667,16,16,2,0,0,3,0,0,0,0,0,0,0,0,3.8868421881310113,9,7,0,80,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
58,0,3,1,0,31,15.666666666666666,49,49,2,0,0,3,0,0,0,0,0,0,0,0,4.277108849063589,32,6,0,80,1,0,1,0,1,0,1,0,0,0,0,0,0,6,0,0,50,1,1,1,6,0,11,7,0,3,0,0,malicious
37,0,3,17,0,6,3.6666666666666665,13,13,2,0,0,5,1,0,0,0,0,0,0,0,4.073885462088315,25,1,0,80,0,0,1,0,0,0,1,0,0,1,0,0,2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
29,0,3,1,0,13,6.0,20,20,2,0,0,3,0,0,0,0,0,0,0,0,3.8833374604210062,15,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,27,1,1,1,3,0,0,2,0,3,0,0,malicious
46,0,2,26,6,8,5.5,12,12,1,0,0,6,0,0,0,0,0,0,0,0,4.067176772150687,24,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,47,1,1,1,9,0,4,3,0,11,0,0,malicious
44,0,3,1,0,17,11.0,35,35,2,0,0,3,0,0,0,0,0,0,0,0,3.919690574049697,23,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,1,7,0,0,42,1,1,2,4,0,0,23,0,1,0,0,malicious
46,1,3,1,0,19,11.666666666666666,37,37,2,0,0,3,1,0,0,0,0,0,0,0,4.134990152123812,25,3,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,15,1,1,1,7,0,2,5,0,6,0,0,malicious
42,0,2,24,0,7,5.0,11,11,1,0,0,6,0,0,0,0,0,0,0,0,3.653756708287001,26,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,103,1,1,9,163,0,24,27,0,21,0,0,malicious
100,2,3,68,0,16,7.333333333333333,24,24,2,0,0,7,5,0,0,0,0,0,0,0,5.007208660547244,41,26,0,80,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,18,1,1,1,6,0,0,4,0,1,0,0,malicious
41,0,2,23,9,7,5.0,11,11,2,0,0,5,0,0,0,0,0,0,0,0,3.8763555179546554,23,1,0,80,0,0,0,1,0,0,1,0,0,0,0,0,0,55,0,0,37,1,1,1,7,0,2,10,0,4,0,0,malicious
121,0,5,85,36,10,5.0,29,29,5,0,0,5,1,0,0,0,0,0,0,0,4.677388389223967,46,37,0,80,0,0,3,0,2,0,1,0,0,0,0,0,0,3,0,0,32,1,1,1,9,0,3,18,0,1,0,0,malicious
37,0,2,18,10,8,5.0,11,11,2,0,0,5,0,0,0,0,0,0,0,0,4.129070434519839,24,1,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
56,0,2,17,0,11,7.0,15,15,1,1,1,5,1,0,0,0,0,16,1,0,4.914959056860513,28,11,0,80,0,0,0,0,1,0,2,1,0,0,0,0,2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
25,0,2,5,0,8,5.5,12,12,1,0,0,4,0,0,0,0,0,0,0,0,3.653660689688186,16,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,71,1,1,2,4,0,1,6,0,16,0,0,malicious
57,0,2,17,0,12,7.5,16,16,1,1,1,5,1,0,0,0,0,16,1,0,4.907818857091048,28,11,0,80,0,0,0,0,1,0,2,1,0,0,0,0,2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
50,1,3,7,6,19,11.0,35,35,5,0,0,3,1,0,0,0,0,0,0,0,4.185979129983103,26,0,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,13,1,1,0,2,0,3,1,0,1,0,0,malicious
31,1,3,1,0,12,7.0,23,23,2,0,0,3,1,0,0,0,0,0,0,0,4.168243795012672,20,0,0,80,0,0,1,0,0,0,1,0,0,0,0,0,6,74,0,0,908,1,1,1,296,0,33,2,0,81,0,0,malicious
64,1,3,22,16,18,10.666666666666666,34,34,16,0,0,4,1,0,0,0,0,0,0,0,3.9486841794508707,28,0,0,80,1,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,13,1,1,0,2,0,3,1,0,1,0,0,malicious
54,0,2,36,0,6,4.5,10,10,1,0,0,7,1,0,0,0,0,0,0,0,4.15524786498562,35,0,0,80,1,0,0,0,1,0,1,0,0,0,0,0,0,26,0,0,134,1,1,9,164,0,37,27,0,25,0,0,malicious
40,0,2,17,0,12,7.5,16,16,1,0,0,5,1,0,0,0,0,0,0,0,4.193942707918269,22,1,0,80,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,0,173,1,1,0,0,0,26,0,0,64,0,0,malicious
34,0,4,1,0,9,5.75,26,26,3,0,0,3,0,0,0,0,0,0,0,0,3.9398290174664017,17,0,0,80,0,0,2,0,0,0,1,0,0,1,0,0,0,21,0,0,80,1,1,1,15,0,15,15,0,1,0,0,malicious
